0 14 28
0 14 29
1.5 85 120
1.5 86 87
3.0 124 160
3.0 125 126
4.5 172 188
4.5 172 189
6.0 86 104
6.0 86 105
7.5 126 144
7.5 126 145
9.0 104 105
9.0 104 106
10.5 86 108
10.5 86 109
12.0 174 185
12.0 174 186
13.5 89 92
13.5 89 93
15.0 8 9
15.0 8 14
16.5 147 150
16.5 147 151
18.0 99 108
18.0 99 109
19.5 129 152
19.5 129 153
21.0 82 118
21.0 82 119
22.5 46 74
22.5 46 75
24.0 51 69
24.0 51 70
25.5 89 94
25.5 89 95
27.0 171 172
27.0 171 173
28.5 53 64
28.5 53 65
30.0 99 106
30.0 99 107
31.5 63 70
31.5 63 71
33.0 133 148
33.0 133 149
34.5 130 149
34.5 130 150
36.0 120 159
36.0 120 160
37.5 11 33
37.5 11 34
39.0 129 132
39.0 129 133
40.5 131 135
40.5 131 136
42.0 133 140
42.0 133 141
43.5 52 71
43.5 52 72
45.0 165 197
45.0 165 198
46.5 5 34
46.5 5 35
48.0 46 78
48.0 46 79
49.5 36 37
49.5 37 38
51.0 173 197
51.0 173 198
52.5 146 149
52.5 146 150
54.0 86 98
54.0 86 99
55.5 89 116
55.5 89 117
57.0 166 186
57.0 166 187
58.5 131 141
58.5 131 142
60.0 181 184
60.0 181 185
61.5 91 97
61.5 91 98
63.0 145 149
63.0 145 150
64.5 62 69
64.5 62 70
66.0 3 32
66.0 3 33
67.5 86 118
67.5 86 119
69.0 6 30
69.0 6 31
70.5 44 78
70.5 44 79
72.0 139 148
72.0 139 149
73.5 20 31
73.5 20 32
75.0 47 60
75.0 47 61
76.5 100 105
76.5 100 106
78.0 175 187
78.0 175 188
79.5 129 136
79.5 129 137
81.0 172 174
81.0 172 175
82.5 52 59
82.5 52 60
84.0 14 26
84.0 14 27
85.5 54 62
85.5 54 63
87.0 42 76
87.0 42 77
88.5 46 76
88.5 46 77
90.0 2 40
90.0 3 4
91.5 145 151
91.5 145 152
93.0 86 106
93.0 86 107
94.5 131 133
94.5 131 134
96.0 126 148
96.0 126 149
97.5 50 61
97.5 50 62
99.0 168 180
99.0 168 181
100.5 122 123
100.5 122 147
102.0 44 76
102.0 44 77
103.5 84 112
103.5 84 113
105.0 21 27
105.0 21 28
106.5 121 122
106.5 121 150
108.0 175 193
108.0 175 194
109.5 169 187
109.5 169 188
111.0 180 194
111.0 180 195
112.5 167 193
112.5 167 194
114.0 121 151
114.0 121 152
115.5 129 142
115.5 129 143
117.0 17 27
117.0 17 28
118.5 89 100
118.5 89 101
120.0 138 149
120.0 138 150
121.5 6 36
121.5 6 37
123.0 138 151
123.0 138 152
124.5 176 178
124.5 176 179
126.0 48 61
126.0 48 62
127.5 181 192
127.5 181 193
129.0 140 141
129.0 140 142
130.5 165 185
130.5 165 186
132.0 64 65
132.0 64 66
133.5 134 140
133.5 134 141
135.0 45 76
135.0 45 77
136.5 7 20
136.5 7 21
138.0 142 153
138.0 142 154
139.5 49 60
139.5 49 61
141.0 12 29
141.0 12 30
142.5 85 102
142.5 85 103
144.0 102 105
144.0 102 106
145.5 16 37
145.5 17 18
147.0 58 67
147.0 58 68
148.5 52 65
148.5 52 66
150.0 83 106
150.0 83 107
151.5 5 26
151.5 5 27
153.0 128 151
153.0 128 152
154.5 173 189
154.5 173 190
156.0 144 145
156.0 144 146
157.5 97 113
157.5 97 114
159.0 134 138
159.0 134 139
160.5 83 118
160.5 83 119
162.0 15 22
162.0 15 23
163.5 56 71
163.5 56 72
165.0 88 101
165.0 88 102
166.5 129 150
166.5 129 151
168.0 96 113
168.0 96 114
169.5 17 33
169.5 17 34
171.0 128 135
171.0 128 136
172.5 125 150
172.5 125 151
174.0 144 147
174.0 144 148
175.5 12 35
175.5 12 36
177.0 96 97
177.0 96 98
178.5 9 16
178.5 9 17
180.0 9 20
180.0 9 21
181.5 103 110
181.5 103 111
183.0 80 81
183.0 80 114
184.5 186 190
184.5 186 191
186.0 125 148
186.0 125 149
187.5 85 110
187.5 85 111
189.0 53 54
189.0 53 55
190.5 125 154
190.5 125 155
192.0 3 36
192.0 3 37
193.5 138 155
193.5 138 156
195.0 57 59
195.0 57 60
196.5 97 107
196.5 97 108
198.0 133 144
198.0 133 145
199.5 92 103
199.5 92 104
201.0 52 55
201.0 52 56
202.5 85 108
202.5 85 109
204.0 2 36
204.0 2 37
205.5 92 101
205.5 92 102
207.0 40 75
207.0 40 76
208.5 131 139
208.5 131 140
210.0 91 95
210.0 91 96
211.5 2 3
211.5 2 27
213.0 91 109
213.0 91 110
214.5 95 96
214.5 95 97
216.0 145 147
216.0 145 148
217.5 84 102
217.5 84 103
219.0 8 37
219.0 8 38
220.5 123 156
220.5 123 157
222.0 144 149
222.0 144 150
223.5 49 66
223.5 49 67
225.0 60 71
225.0 60 72
226.5 187 189
226.5 187 190
228.0 5 22
228.0 5 23
229.5 88 103
229.5 88 104
231.0 90 103
231.0 90 104
232.5 89 96
232.5 89 97
234.0 13 34
234.0 13 35
235.5 173 191
235.5 173 192
237.0 21 23
237.0 21 24
238.5 28 31
238.5 29 30
240.0 123 146
240.0 123 147
241.5 2 30
241.5 2 31
243.0 12 21
243.0 12 22
244.5 96 103
244.5 96 104
246.0 106 109
246.0 106 110
247.5 26 29
247.5 26 30
249.0 133 134
249.0 133 135
250.5 136 151
250.5 136 152
252.0 182 184
252.0 182 185
253.5 19 22
253.5 19 23
255.0 120 155
255.0 120 156
256.5 101 107
256.5 101 108
258.0 162 198
258.0 162 199
259.5 98 103
259.5 98 104
261.0 48 65
